external_id,source,title,description,company_name,company_website,company_logo_url,location,country_code,workplace_type,employment_type,experience_level,salary_currency,salary_min,salary_max,salary_period,apply_url,contact_email,is_active,posted_at
ext-001,LinkedIn,Senior Android Engineer,Lead the development of our flagship consumer app using Kotlin and Jetpack Compose. Focus on performance and modular architecture.,Google,https://google.com,https://logo.clearbit.com/google.com,"Mountain View, CA",US,HYBRID,FULL_TIME,SENIOR_LEVEL,USD,180000,240000,YEARLY,https://google.com/careers,jobs@google.com,TRUE,2026-08-25T10:00:00Z
ext-002,Indeed,Android Developer (Mid-Level),Develop new features for our food delivery platform. Experience with Coroutines and Dagger Hilt required.,Zomato,https://zomato.com,https://logo.clearbit.com/zomato.com,Gurgaon,IN,ON_SITE,FULL_TIME,MID_LEVEL,INR,2500000,3500000,YEARLY,https://zomato.com/careers,hr@zomato.com,TRUE,2026-08-25T11:30:00Z
ext-003,Naukri,Staff Android Engineer,Architect highly scalable mobile solutions for our payment gateway. Deep understanding of JVM and Android Internals.,CRED,https://cred.club,https://logo.clearbit.com/cred.club,Bangalore,IN,HYBRID,FULL_TIME,SENIOR_LEVEL,INR,4500000,6000000,YEARLY,https://cred.club/careers,talent@cred.club,TRUE,2026-08-24T09:00:00Z
ext-004,Internal,Junior Android Developer,Build beautiful UI components and help maintain our mobile SDK. Great opportunity for growth in a fast-paced environment.,Razorpay,https://razorpay.com,https://logo.clearbit.com/razorpay.com,Bangalore,IN,REMOTE,FULL_TIME,ENTRY_LEVEL,INR,1200000,1800000,YEARLY,https://razorpay.com/jobs,recruiting@razorpay.com,TRUE,2026-08-25T14:20:00Z
ext-005,LinkedIn,Android Lead,Oversee the mobile engineering team and define the tech roadmap for our next-gen social media platform.,Meta,https://meta.com,https://logo.clearbit.com/meta.com,"Menlo Park, CA",US,ON_SITE,FULL_TIME,DIRECTOR,USD,220000,300000,YEARLY,https://meta.com/careers,hiring@meta.com,TRUE,2026-08-23T16:45:00Z
ext-006,Indeed,Mobile Developer (Android/Kotlin),Contribute to our open-source tools and internal productivity apps. Mastery of Kotlin is a must.,GitHub,https://github.com,https://logo.clearbit.com/github.com,Remote,US,REMOTE,FULL_TIME,MID_LEVEL,USD,150000,190000,YEARLY,https://github.com/careers,dev-jobs@github.com,TRUE,2026-08-25T08:15:00Z
ext-007,Naukri,Senior Android Specialist,Focus on UI/UX excellence and smooth animations in our e-commerce application. Experience with MotionLayout.,Flipkart,https://flipkart.com,https://logo.clearbit.com/flipkart.com,Bangalore,IN,HYBRID,FULL_TIME,SENIOR_LEVEL,INR,3000000,4200000,YEARLY,https://flipkart.com/careers,career@flipkart.com,TRUE,2026-08-24T12:00:00Z
ext-008,LinkedIn,Android Performance Engineer,Analyze and optimize app startup time and battery consumption. Expertise in Systrace and Profilers.,Netflix,https://netflix.com,https://logo.clearbit.com/netflix.com,"Los Gatos, CA",US,HYBRID,FULL_TIME,SENIOR_LEVEL,USD,200000,280000,YEARLY,https://netflix.com/jobs,performance-team@netflix.com,TRUE,2026-08-25T13:00:00Z
ext-009,Manual,Android Intern,Learning-focused internship. Work alongside senior mentors on a real-world fintech product.,PhonePe,https://phonepe.com,https://logo.clearbit.com/phonepe.com,Pune,IN,ON_SITE,INTERNSHIP,INTERNSHIP,INR,40000,60000,MONTHLY,https://phonepe.com/careers,interns@phonepe.com,TRUE,2026-08-25T15:00:00Z
ext-010,Indeed,Lead Android Architect,Standardize the mobile tech stack across multiple business units. Advocate for Clean Architecture.,Swiggy,https://swiggy.com,https://logo.clearbit.com/swiggy.com,Bangalore,IN,HYBRID,FULL_TIME,SENIOR_LEVEL,INR,5000000,7000000,YEARLY,https://swiggy.com/jobs,hiring@swiggy.com,TRUE,2026-08-25T10:30:00Z
